Title,Text,Tag,Days_Left,Price,Total Bids ,Url
Louvre facade,I need this designed,AutoCAD Architecture,Ended,$17723 Avg Bid,39 bids,https://www.freelancer.com/projects/threed-design/louvre-facade/
Need a building plan,Need a vaastu building plan for 20*30 plot. Measuring: East to West 20 feet North to South 30 feet bounded on the: East by : other plot West by : 30 feet road North by : other plot South by : 50 feet road My requirements: Ground floor: one shop and remaining space parking. First floor : 1 BHK house with washing cloths drying space. Second floor : Same as first floor third floor :...,AutoCAD Architecture,Ended,$148 Avg Bid,3 bids,https://www.freelancer.com/projects/building-architecture/need-building-plan/
I would like to hire a Landscape Designer,"I'm looking to landscape the front of the house, which could include transplanting some already existing bushes. I'm pretty sure I need soil brought in and I would like to add lighting. Also looking to landscape around pool screen enclosure",AutoCAD Architecture,Ended,$1500 - $3000,0 bids,https://www.freelancer.com/projects/landscaping-gardening/would-like-hire-landscape-designer-19120729/
Private project or contest #19076124,Please Sign Up or Login to see details.,AutoCAD Architecture,Ended,$183 Avg Bid,1 bids,https://www.freelancer.com/login?goto=Y2IxZDk2NDM4ZmNjZTU5NDNlYThlY2Q0ZmE4ODgwNGFodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9wcm9qZWN0cy8xOTA3NjEyNC5odG1s
Restaurant and Bar Sales Brochure,"We will be designing two separate sales brochures for our various F&B outlets - housed in a hotel and entertainment destination, respectively. Altogether, we require 17 technical drawings of floor plans and 1 sketching of a building. We do not require help for putting together the overall design of the brochure. Each brochure has a different mood and style - referenced in the brief.",AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/restaurant-bar-sales-brochure/
Project for Chandrasekhar G. -- 19/04/23 18:44:23,Hello. I am trying to create a way to add written signatures to google forms. My best guess is to create an addon similar to the below is this somthing you can assist with? Thanks [login to view URL],AutoCAD Architecture,Ended,$49 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/seo/project-for-chandrasekhar-19332046/
Project for Chandrasekhar G. -- 19/04/23 15:18:13,"Hi Chandrasekhar G., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$49 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/java-spring/project-for-chandrasekhar-19325390/
Project for Chandrasekhar G. -- 19/04/23 15:17:38,"Hi Chandrasekhar G., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$5500 Avg Bid,4 bids,https://www.freelancer.com/projects/java-spring/project-for-chandrasekhar/
4704 Raley Blvd,we are looking to change existing site from M1 zoning residential to commercial property we will need the following - site plan - one ADA bathroom addition - one 12x 20 rood addition - Apply asphalt to the site - Parking - Driveway - landscape - electrical upgrades,AutoCAD Architecture,Ended,$21 Avg Bid,14 bids,https://www.freelancer.com/projects/building-architecture/raley-blvd/
"cad Drawing, paper to Cad and pdf","two floors on paper, resize them to scale on CAD and generate PDF.",AutoCAD Architecture,Ended,$247 Avg Bid,54 bids,https://www.freelancer.com/projects/building-architecture/cad-drawing-paper-cad-pdf/
CAD files from scans,We have 3 scanned drawings that need to be redrawn into preferably latest version of Autocad format (dxf). Must be redrawn exactly the same and wording must be exact (Portuguese language a benefit but not a requirement). Once complete we also require PDF copy of drawings to sit alongside the original dxf files. The 3 full drawings are shown in each of the jpg images attached. Each drawing has an...,AutoCAD Architecture,Ended,$141 Avg Bid,10 bids,https://www.freelancer.com/projects/graphic-design/cad-files-from-scans/
Optical shop lighting design,"I need a lighting designer for my optical shop showroom. Its 87 square meter (12*7.3) with 4m ceiling height , I have bought track light system consisting of 22 pics of LED spot light , with 3200 lumen , 24 angle , 4000k color, and 360 degrees adjustable , with 10 pics of 2meters tracks. So I need to know at which height I should place them and how far from the wall the should be to give me the ...",AutoCAD Architecture,Ended,$126 Avg Bid,4 bids,https://www.freelancer.com/projects/building-architecture/optical-shop-lighting-design/
Project for Krupal P. -- 19/04/04 19:19:05,"Hi Krupal P., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$110 Avg Bid,12 bids,https://www.freelancer.com/projects/cad-cam/project-for-krupal/
Autocad plan,I want a freelancer to draw me this photo using autocad. As I will give him a specific autocad file to work on. The drawing should be exactly as shown in the attached photo.,AutoCAD Architecture,Ended,$8 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/autocad-plan-19301731/
Project for smitsyan -- 19/04/20 14:48:35,"Hi smitsyan, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$5 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-smitsyan/
Project for Ma Imaculada Concepcion R. -- 19/04/20 08:59:46,"Hi Ma Imaculada Concepcion R., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$926 Avg Bid,20 bids,https://www.freelancer.com/projects/logo-design/project-for-imaculada-concepcion/
Design a livestock transport vessel,"We are searching for talented marine engineers to re-design a vehicle transport vessel for safe, humane livestock transportation. More details will be provided upon candidate selection.",AutoCAD Architecture,Ended,$1071 Avg Bid,7 bids,https://www.freelancer.com/projects/engineering/design-livestock-transport-vessel/
Wisconsin Engineer to stamp plans,Looking for a licensed Wisconsin engineer to review and stamp building plans for the state.,AutoCAD Architecture,Ended,$500 Avg Bid,1 bids,https://www.freelancer.com/projects/building-architecture/wisconsin-engineer-stamp-plans/
Project for Stephen K. -- 19/04/19 13:22:30,I need drawings to get permit for a rectangular canopy/ pergola at the back of my house. Can you help me ?,AutoCAD Architecture,Ended,$500,44 entries,https://www.freelancer.com/projects/data-entry/project-for-stephen-19291146/
"I need an approximate layout of a trailer converted into a bar. The trailer is 8m x 2.1m. Must have a bar for serving drinks and seating area. Designer can send the layout, front view, side view or possibly 3d model.",I need a 3D/layout model of a Trailer converted as a Bar. It will be of 8m x 2m. We will be using the trailer to attend exhibition and also host events. Pictures in attachement are for reference. NOTE I NEED A TRAILER DESIGN THAT HAS A BAR THAT SELLS ALCOHOLIC DRINK AND COCKTAILS. NO KITCHEN OR FOOD WILL BE SERVED IN IT. SO IT SHOULD LOOK LIKE A TYPICAL BAR. THE BAR MUST BE DESIGNED SO CUSTOMERS...,AutoCAD Architecture,Ended,$28 Avg Bid,73 bids,https://www.freelancer.com/contest/i-need-an-approximate-layout-of-a-trailer-converted-into-a-bar-the-trailer-is-m-x-m-must-have-a-bar-for-serving-drinks-and-seating-area-designer-can-send-the-layout-front-view-side-view-or-possibly-d-model-1490683.html
Convert PDF to Blueprint Schematic Layout,Architectural Plan: Convert attachment 1 to architectural schematic like attachment 2 complete with measurements etc + variations to kitchen lay-out to follow,AutoCAD Architecture,Ended,$540 - $1080,0 bids,https://www.freelancer.com/projects/autocad/convert-pdf-blueprint-schematic-layout/
Housing concept + 3d,A highrise residential concept did by me,AutoCAD Architecture,Ended,$17 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/housing-concept/
Project for Chita C. -- 2,"Hi Chita, For the two hallways and attic?",AutoCAD Architecture,Ended,$28 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/project-for-chita-19278048/
Project for Chita C.,"Hi Chita C.,",AutoCAD Architecture,Ended,$250 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/project-for-chita-19258040/
Project for Jyoti S.,"Hi Jyoti S., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$9 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-jyoti-19256245/
Project for Surbhi P.,"Hi Surbhi P., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$99 Avg Bid,34 bids,https://www.freelancer.com/projects/threed-design/project-for-surbhi-19252977/
Create AutoCad Electrical Drawing from pef schematic of Altium,I want to create proper AUTOCAD ELECTRICAL SCHEMATICS from Pdf s of Altium schematics,AutoCAD Architecture,Ended,$10 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/create-autocad-electrical-drawing-from/
Project for wfprojetosindust -- 19/04/16 00:47:38,"Hi wfprojetosindust, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$15,15 entries,https://www.freelancer.com/projects/graphic-design/project-for-wfprojetosindust/
Sample 2d layout and visualization,We want samples of a 2d layout and a visualization/3d render of an office space interior to be sent to a potential client. You can send past work you have done. Please send the sample without logo or names on the picture. The selected freelancer will be hired for any jobs of this type we receive in the future.,AutoCAD Architecture,Ended,$30 Avg Bid,1 bids,https://www.freelancer.com/contest/sample-d-layout-and-visualization-1489263.html
Project for Aya E. -- 19/04/15 10:16:31,"Hi Aya, I need some drawings done.",AutoCAD Architecture,Ended,$13 Avg Bid,1 bids,https://www.freelancer.com/projects/concept-design/project-for-aya/
Project for Ali A.,"Hi Ali A., I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$18 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/project-for-ali-19239571/
autocad detailing,I have experience in peb detailing. so i can handle all connections in steel building,AutoCAD Architecture,Ended,$387 Avg Bid,56 bids,https://www.freelancer.com/projects/excel/autocad-detailing/
Teahouse interior design -- 3,I am looking experienced teahouse designer to remodel the existing teahouse business. - work space layout -3D interior design - BOM -lightening,AutoCAD Architecture,Ended,$15 Avg Bid,1 bids,https://www.freelancer.com/projects/threed-design/teahouse-interior-design-19233091/
Project for Ali A.,"Hi CreativeEngAA, I noticed your profile and would like to offer you my project. We can discuss any details over chat.",AutoCAD Architecture,Ended,$27 Avg Bid,85 bids,https://www.freelancer.com/projects/autocad/project-for-ali-19229050/
SketchUp and AutoCAD,Make 3D designs in SketchUp I am looking for a person who is very well versed with both AutoCAD and SketchUp and deliver at affordable prices. I will usually need the project to be delivered within a day.,AutoCAD Architecture,Ended,$808 Avg Bid,5 bids,https://www.freelancer.com/projects/threed-design/sketchup-autocad/
Building Regulations Drawings,Various projects that require production of building regulations drawings,AutoCAD Architecture,Ended,$7 / hr Avg Bid,1 bids,https://www.freelancer.com/projects/building-designer/building-regulations-drawings/
Project for Jovan D.,"hello sir"" I am srk, I have experiences for this job, Please give me a chance, I try my best..",AutoCAD Architecture,Ended,$10 / hr Avg Bid,93 bids,https://www.freelancer.com/projects/autocad/project-for-jovan/
Looking for Autocad drafter / structural drafter,Autocad drafter / structural drafter needed. Looking to hire full time with weekly pay. Clean PROFESSIONAL work is a must. Must speak perfect English Must deliver on time. Thank you!,AutoCAD Architecture,Ended,$37 Avg Bid,1 bids,https://www.freelancer.com/projects/autocad/looking-for-autocad-drafter-structural/
Project for QuickLancer_CAD_Designer -- 19/04/12 11:41:57,Laser cut,AutoCAD Architecture,Ended,$23 Avg Bid,1 bids,https://www.freelancer.com/projects/graphic-design/project-for-quicklancer-cad-designer-19219314/
Proyecto para Jyoti S.,orizoom original logo,AutoCAD Architecture,Ended,,,https://www.freelancer.com/projects/graphic-design/proyecto-para-jyoti/
